city,link,name
Philadelphia,https://sites.google.com/site/dvpspaleo/,Delaware Valley Paleontological Society
St. Peters,http://www.rasloto.com/FM/,Friends of Mineralogy - Pennsylvania Chapter
Erie,http://www.gemcityrockclub.org/,Gem City Rock and Mineral Society
Fairless Hills,http://leidymicroscopical.com/,Leidy Microscopical Society
Hanover,http://topgemz.com/,"Mason-Dixon Rock, Mineral, Gemological, & Lapidary Club"
Moosic,http://msnepa.org/,Mineralogical Society of Northeastern Pennsylvania
Pittsburgh,http://www.monongahelarockhounds.org/,Monongahela Rockhounds
Stroudsburg,http://www.mdsysconsulting.com/MCESA/,Monroe County Earth Science Association
Mars,http://www.morainerockbusters.org/,Moraine Rockbusters
State College,http://www.nittanymineral.org/,Nittany Mineralogical Society
Whitehall,http://www.mineralfest.com/,Pennsylvania Earth Sciences Association
Philadelphia,http://www.phillyrocks.org/,Philadelphia Mineralogical Society
Pittsburgh,http://www.pittsburghgeologicalsociety.org/index.html,Pittsburgh Geological Society
Brookhaven,http://www.lapidary.org/,Tuscarora Lapidary Society
Warwick,http://rimh.us/,"Rhode Island Mineral Hunters, Inc."
Aiken,http://www.aikengmfs.org/,Aiken Gem and Mineral Society
Columbia,http://www.cgams.org/,Columbia Gem & Mineral Society
North Charleston,http://lowcountrygemandmineralsociety.org/,Lowcountry Gem and Mineral Society
Central,http://www.woodsmere.com/pdgms/,Pendleton District Gem and Mineral Society
Greenville,http://www.wescagem.org/,Western South Carolina Gem and Mineral Society
Sioux Falls,http://www.segams.org/,Sioux Empire Gem and Mineral Society
Rapid City,http://www.wdgms.org/,Western Dakota Gem & Mineral Society
Knoxville,http://www.knoxrocks.org/,Knoxville Gem & Mineral Society
Memphis,http://www.memphisgeology.org/,Memphis Archaeological & Geological Society
Nashville,http://www.rockhound.org/,Middle Tennessee Rockhounds
"Murfreesboro, Donelson, Tullahoma",http://www.mtgms.org/,Mid-Tennessee Gem and Mineral Society
Arlington,http://www.agemclub.org/,Arlington Gem and Mineral Club
Austin,http://www.austingemandmineral.org/index.html,Austin Gem and Mineral Society
Abilene,http://rockclub.txol.net/,Central Texas Gem & Mineral Society
Alpine,http://www.cdgmc.org/,Chihuahuan Desert Gem and Mineral Club
Houston,http://www.clgms.org/,Clear Lake Gem and Mineral Society
Fort Worth,http://cera-fw.org/gem-mineral-glass/,"Cowtown Gem, Mineral & Glass Society"
Dallas,http://www.dallasgemandmineral.org/,Dallas Gem and Mineral Society
Dallas,https://dps.wildapricot.org/,Dallas Paleontological Society
Tyler,http://www.etgms.com/,East Texas Gem and Mineral Society
El Paso,http://www.epmgs.com/,"El Paso Mineral and Gem Society, Inc."
Fort Worth,http://www.fortworthgemandmineralclub.org/,Fort Worth Gem and Mineral Club
Fredericksburg,http://fredericksburgrockhounds.org/,Fredericksburg Rockhounds
San Antonio,http://www.geosa.org/,Geological Society of San Antonio
Amarillo,http://www.amarillotreasure.com/,"Golden Spread Gem, Mineral and Treasure Society"
Corpus Christi,http://www.gcgms.org/,Gulf Coast Gem & Mineral Society
Houston,http://www.hgms.org/,Houston Gem and Mineral Society
Lubbock,http://www.lubbockgemandmineral.org/,Lubbock Gem and Mineral Society
Midland,https://www.facebook.com/midlandgemandmineral/,"Midland Gem and Mineral Society, Inc."
Dallas,http://www.ocgemandmineral.com/,Oak Cliff Gem and Mineral Society
Austin,http://www.austinpaleo.org/,Paleontological Society of Austin
Jasper,http://www.pinecountry-gms.org/,Pine Country Gem & Mineral Society
Huntsville,http://www.pwgms.org/,Piney Woods Gem & Mineral Society
Dallas,http://www.pogmc.org/,Pleasant Oaks Gem & Mineral Club
Rollin' Rock Club Of Texas And Any Other State Or Country Of The World and Outer Space,https://sites.google.com/site/rollinrockclub/,"Rollin' Rock Club, Inc."
San Antonio,http://www.stgs.org/,South Texas Geological Society
San Antonio,http://www.swgemandmineral.org/,Southwest Gem and Mineral Society
Houston,http://texasfacetersguild.org/,Texas Faceters Guild
Temple,https://www.facebook.com/midlandgemandmineral/,"Tri-City Gem and Mineral Society, Inc."
Waco,http://www.wacogemandmineral.org/,Waco Gem and Mineral Club
Georgetown,http://www.wcgms.org/,Williamson County Gem and Mineral Society
Decatur,http://wisecofossilrockandmineralsoc.weebly.com/,"Wise County Fossil, Rock and Mineral Society"
Ogden,http://www.beehiverockandgem.com/,Beehive Rock and Gem Club
Smithfield,http://cacherockgemclub.weebly.com/,Cache Rock and Gem Club
Ogden,http://goldenspikegem.org/,Golden Spike Gem & Mineral Society
Salt Lake City,http://m-c-u.org/,Mineral Collectors of Utah
Moab,https://www.facebook.com/Moab-Rock-Club-1508131859497762/,Moab Rock Club
Sandy,http://www.rockhoundersock.com/,Rockhounders Outreach for Community Knowledge
Provo,http://timprocks.weebly.com/,Timpanogos Gem & Mineral Society
Tooele,https://www.facebook.com/Tooele-Gem-Mineral-Society-1742342656045404/,Tooele Gem & Mineral Society
Salt Lake City,http://www.wasatchgemsociety.com/,Wasatch Gem Society
Burlington,http://www.burlingtongemandmineralclub.org/,Burlington Gem and Mineral Club
Rutland,http://www.rutlandrockmineralclub.50webs.com/,Rutland Rock & Mineral Club
Manassas,http://www.gmhonline.org/,"Gem and Mineral Hunters, Inc."
Lynchburg,http://www.lynchburgrockclub.org/,Gem and Mineral Society of Lynchburg
Hampton,http://www.gmsvp.org/,Gem and Mineral Society of the Virginia Peninsula
Arlington,http://www.novamineralclub.org/,"Northern Virginia Mineral Club, Inc."
Richmond,http://www.rgms-va.info/,Richmond Gem & Mineral Society
Roanoke,https://www.facebook.com/RVMGS/,Roanoke Valley Mineral & Gem Society
Waynesboro,http://www.shenandoahvalleyrockclub.org/,Shenandoah Valley Gem & Mineral Society
Virginia Beach,http://tgms.weebly.com/,Tidewater Gem & Mineral Society
Bellevue,http://www.bellevuerockclub.org/,"Bellevue Rock Club, Inc."
Kent,http://www.cascademineralogicalsociety.org/,Cascade Mineralogical Society Inc
Port Angeles,http://www.olympicrocks.com/,Clallam County Gem & Mineral Association
Darrington,https://www.facebook.com/DarringtonRGC/,Darrington Rock & Gem Club
Kirkland,http://www.eastkingco.org/,East KingCo Rock Club
Everett,http://www.everettrockclub.com/,Everett Rock & Gem Club
Wenatchee,http://wenatcheerockclub.org/,Ginkgo Mineral Society
Bremerton,http://www.kmgs.org/,Kitsap Mineral and Gem Societ
Kennewick,http://www.lakesidegemandmineralclub.com/,"Lakeside Gem & Mineral Club, Inc."
Edmonds,http://www.maplewoodrockclub.com/,Maplewood Rock & Gem Community Club
Walla Walla,https://www.sites.google.com/site/mwgemandmineral/,Marcus Whitman Gem and Mineral Society
Marysville,https://sites.google.com/site/marysvillerockngemclub/,"Marysville Rock & Gem Club, Inc."
Bellingham,http://mtbakerrockclub.org/,Mount Baker Rock And Gem Club
Kent,http://www.namaminers.org/,North American Miners Association
Mount Vernon,http://www.facetguild.com/,North Puget Sound Facetors Guild
Puget Sound,http://nwpaleo.org/,Northwest Paleontological Association
Arden,http://panoramagem.com/,Panorama Gem & Mineral Club
Puyallup,https://www.facebook.com/PuyallupValleyGemClub,Puyallup Valley Gem & Mineral Club
Mt. Vernon,https://www.skagitrockandgem.com/,Skagit Rock and Gem Club
Spokane Valley,http://www.rockrollers.org/WP/,Spokane Rock Rollers Club
Seattle,http://www.northseattlerockclub.org,North Seattle Lapidary & Mineral Club
Olympia,https://wamsolympia.wordpress.com,Washington Agate and Mineral Society
Seattle,http://www.westseattlerockclub.org/,West Seattle Rock Club
Yakima,http://www.yakimarockclub.com/,Yakima Rock & Mineral Club
Charleston,http://www.kanawharockandgemclub.org/,Kanawha Rock and Gem Club
Morgantown,http://prehistoricplanet.com/wv/,Prehistoric West Virginia
Clarksburg,http://www.westvirginiafossilclub.com/,West Virginia Fossil Club Inc
Monroe,http://www.badgerrockclub.org/,"Badger Lapidary & Geological Society, Inc."
La Crosse,https://www.facebook.com/pages/The-Coulee-Rock-Club/182345351787782,Coulee Rock Club of La Crosse
Marshfield & Stevens Point,https://www.heartofwisconsinrocks.com/,Heart of Wisconsin Gem & Mineral Society
Pewaukee,http://www.kmgsrocks.com/,Kettle Moraine Geological Society
Minocqua,http://www.lakelandgemclub.com/,Lakeland Gem Club
Madison,http://www.madisonrockclub.org/,Madison Gem and Mineral Club
Cameron,http://www.cameronamericanlegion.org/rockclub.html,Northwest Wisconsin Gem & Mineral Society
Oshkosh,https://sites.google.com/site/oshkoshearthscienceclub/home,Oshkosh Earth Science Club
Racine,http://rgs-wi.tripod.com/,"Racine Geological Society, Inc"
Menasha,http://www.weismuseum.org/geology-club.html,Weis'n'Miners Geology Club
West Allis,http://www.wisgeologicalsociety.com/,Wisconsin Geological Society
Cody,http://www.cody59ers.com/,Cody 59ers Rock Club
Riverton,http://www.rivertonmgs.com/,Riverton Mineral and Gem Society
Cody,http://wymineralandgemsociety.org,Wyoming State Mineral and Gem Society
